,Survived,Pclass,Sex,Age,Fare,Embarked,Class,Adult_Male,Embarktown
90,0,3,male,29.0,8.05,S,Third,True,Southampton
91,0,3,male,20.0,7.8542,S,Third,True,Southampton
92,0,1,male,46.0,61.175,S,First,True,Southampton
93,0,3,male,26.0,20.575,S,Third,True,Southampton
94,0,3,male,59.0,7.25,S,Third,True,Southampton
95,0,3,male,29.69911764705882,8.05,S,Third,True,Southampton
96,0,1,male,71.0,34.6542,C,First,True,Cherbourg
97,1,1,male,23.0,63.3583,C,First,True,Cherbourg
98,1,2,female,34.0,23.0,S,Second,False,Southampton
99,0,2,male,34.0,26.0,S,Second,True,Southampton
100,0,3,female,28.0,7.8958,S,Third,False,Southampton
101,0,3,male,29.69911764705882,7.8958,S,Third,True,Southampton
102,0,1,male,21.0,77.2875,S,First,True,Southampton
103,0,3,male,33.0,8.6542,S,Third,True,Southampton
104,0,3,male,37.0,7.925,S,Third,True,Southampton
105,0,3,male,28.0,7.8958,S,Third,True,Southampton
106,1,3,female,21.0,7.65,S,Third,False,Southampton
107,1,3,male,29.69911764705882,7.775,S,Third,True,Southampton
108,0,3,male,38.0,7.8958,S,Third,True,Southampton
109,1,3,female,29.69911764705882,24.15,Q,Third,False,Queenstown
110,0,1,male,47.0,52.0,S,First,True,Southampton
111,0,3,female,14.5,14.4542,C,Third,False,Cherbourg
112,0,3,male,22.0,8.05,S,Third,True,Southampton
113,0,3,female,20.0,9.825,S,Third,False,Southampton
114,0,3,female,17.0,14.4583,C,Third,False,Cherbourg
115,0,3,male,21.0,7.925,S,Third,True,Southampton
116,0,3,male,70.5,7.75,Q,Third,True,Queenstown
117,0,2,male,29.0,21.0,S,Second,True,Southampton
118,0,1,male,24.0,247.5208,C,First,True,Cherbourg
119,0,3,female,2.0,31.275,S,Third,False,Southampton
120,0,2,male,21.0,73.5,S,Second,True,Southampton
121,0,3,male,29.69911764705882,8.05,S,Third,True,Southampton
122,0,2,male,32.5,30.0708,C,Second,True,Cherbourg
123,1,2,female,32.5,13.0,S,Second,False,Southampton
124,0,1,male,54.0,77.2875,S,First,True,Southampton
125,1,3,male,12.0,11.2417,C,Third,False,Cherbourg
126,0,3,male,29.69911764705882,7.75,Q,Third,True,Queenstown
127,1,3,male,24.0,7.1417,S,Third,True,Southampton
128,1,3,female,29.69911764705882,22.3583,C,Third,False,Cherbourg
129,0,3,male,45.0,6.975,S,Third,True,Southampton
130,0,3,male,33.0,7.8958,C,Third,True,Cherbourg
131,0,3,male,20.0,7.05,S,Third,True,Southampton
132,0,3,female,47.0,14.5,S,Third,False,Southampton
133,1,2,female,29.0,26.0,S,Second,False,Southampton
134,0,2,male,25.0,13.0,S,Second,True,Southampton
135,0,2,male,23.0,15.0458,C,Second,True,Cherbourg
136,1,1,female,19.0,26.2833,S,First,False,Southampton
137,0,1,male,37.0,53.1,S,First,True,Southampton
138,0,3,male,16.0,9.2167,S,Third,True,Southampton
139,0,1,male,24.0,79.2,C,First,True,Cherbourg
140,0,3,female,29.69911764705882,15.2458,C,Third,False,Cherbourg
141,1,3,female,22.0,7.75,S,Third,False,Southampton
142,1,3,female,24.0,15.85,S,Third,False,Southampton
143,0,3,male,19.0,6.75,Q,Third,True,Queenstown
144,0,2,male,18.0,11.5,S,Second,True,Southampton
145,0,2,male,19.0,36.75,S,Second,True,Southampton
146,1,3,male,27.0,7.7958,S,Third,True,Southampton
147,0,3,female,9.0,34.375,S,Third,False,Southampton
148,0,2,male,36.5,26.0,S,Second,True,Southampton
149,0,2,male,42.0,13.0,S,Second,True,Southampton
150,0,2,male,51.0,12.525,S,Second,True,Southampton
151,1,1,female,22.0,66.6,S,First,False,Southampton
152,0,3,male,55.5,8.05,S,Third,True,Southampton
153,0,3,male,40.5,14.5,S,Third,True,Southampton
154,0,3,male,29.69911764705882,7.3125,S,Third,True,Southampton
155,0,1,male,51.0,61.3792,C,First,True,Cherbourg
156,1,3,female,16.0,7.7333,Q,Third,False,Queenstown
157,0,3,male,30.0,8.05,S,Third,True,Southampton
158,0,3,male,29.69911764705882,8.6625,S,Third,True,Southampton
159,0,3,male,29.69911764705882,69.55,S,Third,True,Southampton
160,0,3,male,44.0,16.1,S,Third,True,Southampton
161,1,2,female,40.0,15.75,S,Second,False,Southampton
162,0,3,male,26.0,7.775,S,Third,True,Southampton
163,0,3,male,17.0,8.6625,S,Third,True,Southampton
164,0,3,male,1.0,39.6875,S,Third,False,Southampton
165,1,3,male,9.0,20.525,S,Third,False,Southampton
166,1,1,female,29.69911764705882,55.0,S,First,False,Southampton
167,0,3,female,45.0,27.9,S,Third,False,Southampton
168,0,1,male,29.69911764705882,25.925,S,First,True,Southampton
169,0,3,male,28.0,56.4958,S,Third,True,Southampton
170,0,1,male,61.0,33.5,S,First,True,Southampton
171,0,3,male,4.0,29.125,Q,Third,False,Queenstown
172,1,3,female,1.0,11.1333,S,Third,False,Southampton
173,0,3,male,21.0,7.925,S,Third,True,Southampton
174,0,1,male,56.0,30.6958,C,First,True,Cherbourg
175,0,3,male,18.0,7.8542,S,Third,True,Southampton
176,0,3,male,29.69911764705882,25.4667,S,Third,True,Southampton
177,0,1,female,50.0,28.7125,C,First,False,Cherbourg
178,0,2,male,30.0,13.0,S,Second,True,Southampton
179,0,3,male,36.0,0.0,S,Third,True,Southampton
180,0,3,female,29.69911764705882,69.55,S,Third,False,Southampton
181,0,2,male,29.69911764705882,15.05,C,Second,True,Cherbourg
182,0,3,male,9.0,31.3875,S,Third,False,Southampton
183,1,2,male,1.0,39.0,S,Second,False,Southampton
184,1,3,female,4.0,22.025,S,Third,False,Southampton
185,0,1,male,29.69911764705882,50.0,S,First,True,Southampton
186,1,3,female,29.69911764705882,15.5,Q,Third,False,Queenstown
187,1,1,male,45.0,26.55,S,First,True,Southampton
188,0,3,male,40.0,15.5,Q,Third,True,Queenstown
189,0,3,male,36.0,7.8958,S,Third,True,Southampton
190,1,2,female,32.0,13.0,S,Second,False,Southampton
191,0,2,male,19.0,13.0,S,Second,True,Southampton
192,1,3,female,19.0,7.8542,S,Third,False,Southampton
193,1,2,male,3.0,26.0,S,Second,False,Southampton
194,1,1,female,44.0,27.7208,C,First,False,Cherbourg
195,1,1,female,58.0,146.5208,C,First,False,Cherbourg
196,0,3,male,29.69911764705882,7.75,Q,Third,True,Queenstown
197,0,3,male,42.0,8.4042,S,Third,True,Southampton
198,1,3,female,29.69911764705882,7.75,Q,Third,False,Queenstown
199,0,2,female,24.0,13.0,S,Second,False,Southampton
200,0,3,male,28.0,9.5,S,Third,True,Southampton
201,0,3,male,29.69911764705882,69.55,S,Third,True,Southampton
202,0,3,male,34.0,6.4958,S,Third,True,Southampton
203,0,3,male,45.5,7.225,C,Third,True,Cherbourg
204,1,3,male,18.0,8.05,S,Third,True,Southampton
205,0,3,female,2.0,10.4625,S,Third,False,Southampton
206,0,3,male,32.0,15.85,S,Third,True,Southampton
207,1,3,male,26.0,18.7875,C,Third,True,Cherbourg
208,1,3,female,16.0,7.75,Q,Third,False,Queenstown
209,1,1,male,40.0,31.0,C,First,True,Cherbourg
210,0,3,male,24.0,7.05,S,Third,True,Southampton
211,1,2,female,35.0,21.0,S,Second,False,Southampton
212,0,3,male,22.0,7.25,S,Third,True,Southampton
213,0,2,male,30.0,13.0,S,Second,True,Southampton
214,0,3,male,29.69911764705882,7.75,Q,Third,True,Queenstown
215,1,1,female,31.0,113.275,C,First,False,Cherbourg
216,1,3,female,27.0,7.925,S,Third,False,Southampton
217,0,2,male,42.0,27.0,S,Second,True,Southampton
218,1,1,female,32.0,76.2917,C,First,False,Cherbourg
219,0,2,male,30.0,10.5,S,Second,True,Southampton
220,1,3,male,16.0,8.05,S,Third,True,Southampton
221,0,2,male,27.0,13.0,S,Second,True,Southampton
222,0,3,male,51.0,8.05,S,Third,True,Southampton
223,0,3,male,29.69911764705882,7.8958,S,Third,True,Southampton
224,1,1,male,38.0,90.0,S,First,True,Southampton
225,0,3,male,22.0,9.35,S,Third,True,Southampton
226,1,2,male,19.0,10.5,S,Second,True,Southampton
227,0,3,male,20.5,7.25,S,Third,True,Southampton
228,0,2,male,18.0,13.0,S,Second,True,Southampton
229,0,3,female,29.69911764705882,25.4667,S,Third,False,Southampton
230,1,1,female,35.0,83.475,S,First,False,Southampton
231,0,3,male,29.0,7.775,S,Third,True,Southampton
232,0,2,male,59.0,13.5,S,Second,True,Southampton
233,1,3,female,5.0,31.3875,S,Third,False,Southampton
234,0,2,male,24.0,10.5,S,Second,True,Southampton
235,0,3,female,29.69911764705882,7.55,S,Third,False,Southampton
236,0,2,male,44.0,26.0,S,Second,True,Southampton
237,1,2,female,8.0,26.25,S,Second,False,Southampton
238,0,2,male,19.0,10.5,S,Second,True,Southampton
239,0,2,male,33.0,12.275,S,Second,True,Southampton
240,0,3,female,29.69911764705882,14.4542,C,Third,False,Cherbourg
241,1,3,female,29.69911764705882,15.5,Q,Third,False,Queenstown
242,0,2,male,29.0,10.5,S,Second,True,Southampton
243,0,3,male,22.0,7.125,S,Third,True,Southampton
244,0,3,male,30.0,7.225,C,Third,True,Cherbourg
245,0,1,male,44.0,90.0,Q,First,True,Queenstown
246,0,3,female,25.0,7.775,S,Third,False,Southampton
247,1,2,female,24.0,14.5,S,Second,False,Southampton
248,1,1,male,37.0,52.5542,S,First,True,Southampton
249,0,2,male,54.0,26.0,S,Second,True,Southampton
250,0,3,male,29.69911764705882,7.25,S,Third,True,Southampton
251,0,3,female,29.0,10.4625,S,Third,False,Southampton
252,0,1,male,62.0,26.55,S,First,True,Southampton
253,0,3,male,30.0,16.1,S,Third,True,Southampton
254,0,3,female,41.0,20.2125,S,Third,False,Southampton
255,1,3,female,29.0,15.2458,C,Third,False,Cherbourg
256,1,1,female,29.69911764705882,79.2,C,First,False,Cherbourg
257,1,1,female,30.0,86.5,S,First,False,Southampton
258,1,1,female,35.0,512.3292,C,First,False,Cherbourg
259,1,2,female,50.0,26.0,S,Second,False,Southampton
260,0,3,male,29.69911764705882,7.75,Q,Third,True,Queenstown
261,1,3,male,3.0,31.3875,S,Third,False,Southampton
262,0,1,male,52.0,79.65,S,First,True,Southampton
263,0,1,male,40.0,0.0,S,First,True,Southampton
264,0,3,female,29.69911764705882,7.75,Q,Third,False,Queenstown
265,0,2,male,36.0,10.5,S,Second,True,Southampton
266,0,3,male,16.0,39.6875,S,Third,True,Southampton
267,1,3,male,25.0,7.775,S,Third,True,Southampton
268,1,1,female,58.0,153.4625,S,First,False,Southampton
269,1,1,female,35.0,135.6333,S,First,False,Southampton
270,0,1,male,29.69911764705882,31.0,S,First,True,Southampton
271,1,3,male,25.0,0.0,S,Third,True,Southampton
272,1,2,female,41.0,19.5,S,Second,False,Southampton
273,0,1,male,37.0,29.7,C,First,True,Cherbourg
274,1,3,female,29.69911764705882,7.75,Q,Third,False,Queenstown
275,1,1,female,63.0,77.9583,S,First,False,Southampton
276,0,3,female,45.0,7.75,S,Third,False,Southampton
277,0,2,male,29.69911764705882,0.0,S,Second,True,Southampton
278,0,3,male,7.0,29.125,Q,Third,False,Queenstown
279,1,3,female,35.0,20.25,S,Third,False,Southampton
280,0,3,male,65.0,7.75,Q,Third,True,Queenstown
281,0,3,male,28.0,7.8542,S,Third,True,Southampton
282,0,3,male,16.0,9.5,S,Third,True,Southampton
283,1,3,male,19.0,8.05,S,Third,True,Southampton
284,0,1,male,29.69911764705882,26.0,S,First,True,Southampton
285,0,3,male,33.0,8.6625,C,Third,True,Cherbourg
286,1,3,male,30.0,9.5,S,Third,True,Southampton
287,0,3,male,22.0,7.8958,S,Third,True,Southampton
288,1,2,male,42.0,13.0,S,Second,True,Southampton
289,1,3,female,22.0,7.75,Q,Third,False,Queenstown
290,1,1,female,26.0,78.85,S,First,False,Southampton
291,1,1,female,19.0,91.0792,C,First,False,Cherbourg
292,0,2,male,36.0,12.875,C,Second,True,Cherbourg
293,0,3,female,24.0,8.85,S,Third,False,Southampton
294,0,3,male,24.0,7.8958,S,Third,True,Southampton
295,0,1,male,29.69911764705882,27.7208,C,First,True,Cherbourg
296,0,3,male,23.5,7.2292,C,Third,True,Cherbourg
297,0,1,female,2.0,151.55,S,First,False,Southampton
298,1,1,male,29.69911764705882,30.5,S,First,True,Southampton
299,1,1,female,50.0,247.5208,C,First,False,Cherbourg
300,1,3,female,29.69911764705882,7.75,Q,Third,False,Queenstown
301,1,3,male,29.69911764705882,23.25,Q,Third,True,Queenstown
302,0,3,male,19.0,0.0,S,Third,True,Southampton
303,1,2,female,29.69911764705882,12.35,Q,Second,False,Queenstown
304,0,3,male,29.69911764705882,8.05,S,Third,True,Southampton
305,1,1,male,0.92,151.55,S,First,False,Southampton
306,1,1,female,29.69911764705882,110.8833,C,First,False,Cherbourg
307,1,1,female,17.0,108.9,C,First,False,Cherbourg
308,0,2,male,30.0,24.0,C,Second,True,Cherbourg
309,1,1,female,30.0,56.9292,C,First,False,Cherbourg
310,1,1,female,24.0,83.1583,C,First,False,Cherbourg
311,1,1,female,18.0,262.375,C,First,False,Cherbourg
312,0,2,female,26.0,26.0,S,Second,False,Southampton
313,0,3,male,28.0,7.8958,S,Third,True,Southampton
314,0,2,male,43.0,26.25,S,Second,True,Southampton
315,1,3,female,26.0,7.8542,S,Third,False,Southampton
316,1,2,female,24.0,26.0,S,Second,False,Southampton
317,0,2,male,54.0,14.0,S,Second,True,Southampton
318,1,1,female,31.0,164.8667,S,First,False,Southampton
319,1,1,female,40.0,134.5,C,First,False,Cherbourg
320,0,3,male,22.0,7.25,S,Third,True,Southampton
321,0,3,male,27.0,7.8958,S,Third,True,Southampton
322,1,2,female,30.0,12.35,Q,Second,False,Queenstown
323,1,2,female,22.0,29.0,S,Second,False,Southampton
324,0,3,male,29.69911764705882,69.55,S,Third,True,Southampton
325,1,1,female,36.0,135.6333,C,First,False,Cherbourg
326,0,3,male,61.0,6.2375,S,Third,True,Southampton
327,1,2,female,36.0,13.0,S,Second,False,Southampton
328,1,3,female,31.0,20.525,S,Third,False,Southampton
329,1,1,female,16.0,57.9792,C,First,False,Cherbourg
330,1,3,female,29.69911764705882,23.25,Q,Third,False,Queenstown
331,0,1,male,45.5,28.5,S,First,True,Southampton
332,0,1,male,38.0,153.4625,S,First,True,Southampton
333,0,3,male,16.0,18.0,S,Third,True,Southampton
334,1,1,female,29.69911764705882,133.65,S,First,False,Southampton
335,0,3,male,29.69911764705882,7.8958,S,Third,True,Southampton
336,0,1,male,29.0,66.6,S,First,True,Southampton
337,1,1,female,41.0,134.5,C,First,False,Cherbourg
338,1,3,male,45.0,8.05,S,Third,True,Southampton
339,0,1,male,45.0,35.5,S,First,True,Southampton
340,1,2,male,2.0,26.0,S,Second,False,Southampton
341,1,1,female,24.0,263.0,S,First,False,Southampton
342,0,2,male,28.0,13.0,S,Second,True,Southampton
343,0,2,male,25.0,13.0,S,Second,True,Southampton
344,0,2,male,36.0,13.0,S,Second,True,Southampton
345,1,2,female,24.0,13.0,S,Second,False,Southampton
346,1,2,female,40.0,13.0,S,Second,False,Southampton
347,1,3,female,29.69911764705882,16.1,S,Third,False,Southampton
348,1,3,male,3.0,15.9,S,Third,False,Southampton
349,0,3,male,42.0,8.6625,S,Third,True,Southampton
350,0,3,male,23.0,9.225,S,Third,True,Southampton
351,0,1,male,29.69911764705882,35.0,S,First,True,Southampton
352,0,3,male,15.0,7.2292,C,Third,False,Cherbourg
353,0,3,male,25.0,17.8,S,Third,True,Southampton
354,0,3,male,29.69911764705882,7.225,C,Third,True,Cherbourg
355,0,3,male,28.0,9.5,S,Third,True,Southampton
356,1,1,female,22.0,55.0,S,First,False,Southampton
357,0,2,female,38.0,13.0,S,Second,False,Southampton
358,1,3,female,29.69911764705882,7.8792,Q,Third,False,Queenstown
359,1,3,female,29.69911764705882,7.8792,Q,Third,False,Queenstown
360,0,3,male,40.0,27.9,S,Third,True,Southampton
361,0,2,male,29.0,27.7208,C,Second,True,Cherbourg
362,0,3,female,45.0,14.4542,C,Third,False,Cherbourg
363,0,3,male,35.0,7.05,S,Third,True,Southampton
364,0,3,male,29.69911764705882,15.5,Q,Third,True,Queenstown
365,0,3,male,30.0,7.25,S,Third,True,Southampton
366,1,1,female,60.0,75.25,C,First,False,Cherbourg
367,1,3,female,29.69911764705882,7.2292,C,Third,False,Cherbourg
368,1,3,female,29.69911764705882,7.75,Q,Third,False,Queenstown
369,1,1,female,24.0,69.3,C,First,False,Cherbourg
370,1,1,male,25.0,55.4417,C,First,True,Cherbourg
371,0,3,male,18.0,6.4958,S,Third,True,Southampton
372,0,3,male,19.0,8.05,S,Third,True,Southampton
373,0,1,male,22.0,135.6333,C,First,True,Cherbourg
374,0,3,female,3.0,21.075,S,Third,False,Southampton
375,1,1,female,29.69911764705882,82.1708,C,First,False,Cherbourg
376,1,3,female,22.0,7.25,S,Third,False,Southampton
377,0,1,male,27.0,211.5,C,First,True,Cherbourg
378,0,3,male,20.0,4.0125,C,Third,True,Cherbourg
379,0,3,male,19.0,7.775,S,Third,True,Southampton
380,1,1,female,42.0,227.525,C,First,False,Cherbourg
381,1,3,female,1.0,15.7417,C,Third,False,Cherbourg
382,0,3,male,32.0,7.925,S,Third,True,Southampton
383,1,1,female,35.0,52.0,S,First,False,Southampton
384,0,3,male,29.69911764705882,7.8958,S,Third,True,Southampton
385,0,2,male,18.0,73.5,S,Second,True,Southampton
386,0,3,male,1.0,46.9,S,Third,False,Southampton
387,1,2,female,36.0,13.0,S,Second,False,Southampton
388,0,3,male,29.69911764705882,7.7292,Q,Third,True,Queenstown
389,1,2,female,17.0,12.0,C,Second,False,Cherbourg
390,1,1,male,36.0,120.0,S,First,True,Southampton
391,1,3,male,21.0,7.7958,S,Third,True,Southampton
392,0,3,male,28.0,7.925,S,Third,True,Southampton
393,1,1,female,23.0,113.275,C,First,False,Cherbourg
394,1,3,female,24.0,16.7,S,Third,False,Southampton
395,0,3,male,22.0,7.7958,S,Third,True,Southampton
396,0,3,female,31.0,7.8542,S,Third,False,Southampton
397,0,2,male,46.0,26.0,S,Second,True,Southampton
398,0,2,male,23.0,10.5,S,Second,True,Southampton
399,1,2,female,28.0,12.65,S,Second,False,Southampton
400,1,3,male,39.0,7.925,S,Third,True,Southampton
401,0,3,male,26.0,8.05,S,Third,True,Southampton
402,0,3,female,21.0,9.825,S,Third,False,Southampton
403,0,3,male,28.0,15.85,S,Third,True,Southampton
404,0,3,female,20.0,8.6625,S,Third,False,Southampton
405,0,2,male,34.0,21.0,S,Second,True,Southampton
406,0,3,male,51.0,7.75,S,Third,True,Southampton
407,1,2,male,3.0,18.75,S,Second,False,Southampton
408,0,3,male,21.0,7.775,S,Third,True,Southampton
409,0,3,female,29.69911764705882,25.4667,S,Third,False,Southampton
410,0,3,male,29.69911764705882,7.8958,S,Third,True,Southampton
411,0,3,male,29.69911764705882,6.8583,Q,Third,True,Queenstown
412,1,1,female,33.0,90.0,Q,First,False,Queenstown
413,0,2,male,29.69911764705882,0.0,S,Second,True,Southampton
414,1,3,male,44.0,7.925,S,Third,True,Southampton
415,0,3,female,29.69911764705882,8.05,S,Third,False,Southampton
416,1,2,female,34.0,32.5,S,Second,False,Southampton
417,1,2,female,18.0,13.0,S,Second,False,Southampton
418,0,2,male,30.0,13.0,S,Second,True,Southampton
419,0,3,female,10.0,24.15,S,Third,False,Southampton
420,0,3,male,29.69911764705882,7.8958,C,Third,True,Cherbourg
421,0,3,male,21.0,7.7333,Q,Third,True,Queenstown
422,0,3,male,29.0,7.875,S,Third,True,Southampton
423,0,3,female,28.0,14.4,S,Third,False,Southampton
424,0,3,male,18.0,20.2125,S,Third,True,Southampton
425,0,3,male,29.69911764705882,7.25,S,Third,True,Southampton
426,1,2,female,28.0,26.0,S,Second,False,Southampton
427,1,2,female,19.0,26.0,S,Second,False,Southampton
428,0,3,male,29.69911764705882,7.75,Q,Third,True,Queenstown
429,1,3,male,32.0,8.05,S,Third,True,Southampton
430,1,1,male,28.0,26.55,S,First,True,Southampton
431,1,3,female,29.69911764705882,16.1,S,Third,False,Southampton
432,1,2,female,42.0,26.0,S,Second,False,Southampton
433,0,3,male,17.0,7.125,S,Third,True,Southampton
434,0,1,male,50.0,55.9,S,First,True,Southampton
435,1,1,female,14.0,120.0,S,First,False,Southampton
436,0,3,female,21.0,34.375,S,Third,False,Southampton
437,1,2,female,24.0,18.75,S,Second,False,Southampton
438,0,1,male,64.0,263.0,S,First,True,Southampton
439,0,2,male,31.0,10.5,S,Second,True,Southampton
440,1,2,female,45.0,26.25,S,Second,False,Southampton
441,0,3,male,20.0,9.5,S,Third,True,Southampton
442,0,3,male,25.0,7.775,S,Third,True,Southampton
443,1,2,female,28.0,13.0,S,Second,False,Southampton
444,1,3,male,29.69911764705882,8.1125,S,Third,True,Southampton
445,1,1,male,4.0,81.8583,S,First,False,Southampton
446,1,2,female,13.0,19.5,S,Second,False,Southampton
447,1,1,male,34.0,26.55,S,First,True,Southampton
448,1,3,female,5.0,19.2583,C,Third,False,Cherbourg
449,1,1,male,52.0,30.5,S,First,True,Southampton
450,0,2,male,36.0,27.75,S,Second,True,Southampton
451,0,3,male,29.69911764705882,19.9667,S,Third,True,Southampton
452,0,1,male,30.0,27.75,C,First,True,Cherbourg
453,1,1,male,49.0,89.1042,C,First,True,Cherbourg
454,0,3,male,29.69911764705882,8.05,S,Third,True,Southampton
455,1,3,male,29.0,7.8958,C,Third,True,Cherbourg
456,0,1,male,65.0,26.55,S,First,True,Southampton
457,1,1,female,29.69911764705882,51.8625,S,First,False,Southampton
458,1,2,female,50.0,10.5,S,Second,False,Southampton
459,0,3,male,29.69911764705882,7.75,Q,Third,True,Queenstown
460,1,1,male,48.0,26.55,S,First,True,Southampton
461,0,3,male,34.0,8.05,S,Third,True,Southampton
462,0,1,male,47.0,38.5,S,First,True,Southampton
463,0,2,male,48.0,13.0,S,Second,True,Southampton
464,0,3,male,29.69911764705882,8.05,S,Third,True,Southampton
465,0,3,male,38.0,7.05,S,Third,True,Southampton
466,0,2,male,29.69911764705882,0.0,S,Second,True,Southampton
467,0,1,male,56.0,26.55,S,First,True,Southampton
468,0,3,male,29.69911764705882,7.725,Q,Third,True,Queenstown
469,1,3,female,0.75,19.2583,C,Third,False,Cherbourg
470,0,3,male,29.69911764705882,7.25,S,Third,True,Southampton
471,0,3,male,38.0,8.6625,S,Third,True,Southampton
